"country","ccode","year","torture"
"Yugoslavia",345,1989,3
"Zambia",551,1989,3
"Zimbabwe",552,1989,4
"Afghanistan",700,1990,5
"Albania",339,1990,3
"Algeria",615,1990,3
"Angola",540,1990,3
"Argentina",160,1990,3
"Armenia",371,1990,4
"Australia",900,1990,3
"Austria",305,1990,2
"Azerbaijan",373,1990,4
"Bahrain",692,1990,3
"Bangladesh",771,1990,3
"Belarus",370,1990,3
"Belgium",211,1990,1
"Benin",434,1990,1
"Bhutan",760,1990,1
"Bolivia",145,1990,3
"Bosnia and Herzegovina",346,1990,NA
"Botswana",571,1990,2
"Brazil",140,1990,5
"Bulgaria",355,1990,1
"Burkina Faso",439,1990,3
"Burundi",516,1990,2
"Cambodia",811,1990,3
"Cameroon",471,1990,2
"Canada",20,1990,1
"Central African Repbulic",482,1990,3
"Chad",483,1990,4
"Chile",155,1990,3
"China",710,1990,4
"Colombia",100,1990,5
"Comoros",581,1990,2
"Congo, Republic of",484,1990,4
"Congo, Democratic Republic of",490,1990,2
"Costa Rica",94,1990,2
"ivory Coast",437,1990,3
"Croatia",344,1990,NA
"Cuba",40,1990,3
"Cyprus",352,1990,1
"Czechoslovakia",315,1990,1
"Czech Republic",316,1990,NA
"Denmark",390,1990,1
"Djibouti",522,1990,3
"Dominican Republic",42,1990,2
"Ecuador",130,1990,5
"Egypt",651,1990,4
"El Salvador",92,1990,4
"Equatorial Guinea",411,1990,5
"Eritrea",531,1990,NA
"Estonia",366,1990,3
"Ethiopia",530,1990,4
"Fiji",950,1990,2
"Finland",375,1990,1
"France",220,1990,2
"Gabon",481,1990,2
"Gambia",420,1990,2
"Georgia",372,1990,NA
"Germany",255,1990,1
"Germany, East",265,1990,NA
"Germany, West",260,1990,NA
"Ghana",452,1990,1
"Greece",350,1990,2
"Guatemala",90,1990,4
"Guinea",438,1990,3
"Guinea-Bissau",404,1990,2
"Guyana",110,1990,2
"Haiti",41,1990,4
"Honduras",91,1990,4
"Hungary",310,1990,1
"iceland",395,1990,1
"india",750,1990,4
"indonesia",850,1990,4
"iran",630,1990,3
"iraq",645,1990,5
"ireland",205,1990,1
"israel",666,1990,1
"italy",325,1990,1
"Jamaica",51,1990,4
"Japan",740,1990,3
"Jordan",663,1990,1
"Kazakhstan",705,1990,NA
"Kenya",501,1990,3
"South Korea",732,1990,4
"North Korea",731,1990,NA
"Kuwait",690,1990,4
"Kyrgyzstan",703,1990,NA
"Laos",812,1990,3
"Latvia",367,1990,3
"Lebanon",660,1990,3
"Lesotho",570,1990,2
"Liberia",450,1990,5
"Libya",620,1990,3
"Lithuania",368,1990,3
"Luxembourg",212,1990,1
"Macedonia",343,1990,NA
"Madagascar",580,1990,2
"Malawi",553,1990,3
"Malaysia",820,1990,2
"Mali",432,1990,3
"Mauritania",435,1990,3
"Mauritius",590,1990,2
"Mexico",70,1990,3
"Moldova",359,1990,NA
"Mongolia",712,1990,1
"Morocco",600,1990,3
"Mozambique",541,1990,3
"Myanmar",775,1990,5
"Namibia",565,1990,3
"Nepal",790,1990,4
"Netherlands",210,1990,1
"New Zealand",920,1990,1
"Nicaragua",93,1990,3
"Niger",436,1990,3
"Nigeria",475,1990,4
"Norway",385,1990,1
"Oman",698,1990,1
"Pakistan",770,1990,4
"Panama",95,1990,2
"Papua New Guinea",910,1990,3
"Paraguay",150,1990,4
"Peru",135,1990,5
"Philippines",840,1990,4
"Poland",290,1990,2
"Portugal",235,1990,3
"Qatar",694,1990,1
"Romania",360,1990,3
"Russia",365,1990,4
"Rwanda",517,1990,2
"Saudi Arabia",670,1990,4
"Senegal",433,1990,4
"Sierra Leone",451,1990,2
"Singapore",830,1990,2
"Slovak Republic",317,1990,NA
"Slovenia",349,1990,NA
"Somalia",520,1990,3
"South Africa",560,1990,3
"Spain",230,1990,1
"Sri Lanka",780,1990,3
"Sudan",625,1990,5
"Swaziland",572,1990,2
"Sweden",380,1990,1
"Switzerland",225,1990,1
"Syria",652,1990,5
"Tajikistan",702,1990,NA
"Tanzania",510,1990,4
"Thailand",800,1990,3
"Togo",461,1990,3
"Tonga",955,1990,1
"Tunisia",616,1990,3
"Turkey",640,1990,4
"Turkmenistan",701,1990,NA
"Uganda",500,1990,4
"Ukraine",369,1990,NA
"United Arab Emirates",696,1990,3
"United Kingdom",200,1990,1
"Uruguay",165,1990,2
"Uzbekistan",704,1990,NA
"Venezuela",101,1990,4
"Vietnam",816,1990,4
"Yemen, North",678,1990,NA
"Yemen",679,1990,3
"Yemen, South",680,1990,NA
"Yugoslavia",345,1990,4
"Zambia",551,1990,3
"Zimbabwe",552,1990,4
"Afghanistan",700,1991,4
"Albania",339,1991,2
"Algeria",615,1991,3
"Angola",540,1991,3
"Argentina",160,1991,3
"Armenia",371,1991,4
"Australia",900,1991,3
"Austria",305,1991,2
"Azerbaijan",373,1991,4
"Bahrain",692,1991,3
"Bangladesh",771,1991,4
"Belarus",370,1991,2
"Belgium",211,1991,1
"Benin",434,1991,1
"Bhutan",760,1991,3
"Bolivia",145,1991,3
"Bosnia and Herzegovina",346,1991,NA
"Botswana",571,1991,1
"Brazil",140,1991,5
"Bulgaria",355,1991,1
"Burkina Faso",439,1991,3
"Burundi",516,1991,2
"Cambodia",811,1991,2
"Cameroon",471,1991,4
"Canada",20,1991,1
"Central African Repbulic",482,1991,2
"Chad",483,1991,4
"Chile",155,1991,3
"China",710,1991,4
"Colombia",100,1991,5
"Comoros",581,1991,3
"Congo, Republic of",484,1991,4
"Congo, Democratic Republic of",490,1991,3
"Costa Rica",94,1991,1
"ivory Coast",437,1991,2
"Croatia",344,1991,NA
"Cuba",40,1991,3
"Cyprus",352,1991,1
"Czechoslovakia",315,1991,1
"Czech Republic",316,1991,NA
"Denmark",390,1991,2
"Djibouti",522,1991,4
"Dominican Republic",42,1991,3
"Ecuador",130,1991,4
"Egypt",651,1991,4
"El Salvador",92,1991,4
"Equatorial Guinea",411,1991,5
"Eritrea",531,1991,NA
"Estonia",366,1991,NA
"Ethiopia",530,1991,5
"Fiji",950,1991,2
"Finland",375,1991,1
"France",220,1991,1
"Gabon",481,1991,3
"Gambia",420,1991,2
"Georgia",372,1991,NA
"Germany",255,1991,1
"Germany, East",265,1991,NA
"Germany, West",260,1991,NA
"Ghana",452,1991,2
"Greece",350,1991,2
"Guatemala",90,1991,4
"Guinea",438,1991,3
"Guinea-Bissau",404,1991,2
"Guyana",110,1991,2
"Haiti",41,1991,3
"Honduras",91,1991,3
"Hungary",310,1991,1
"iceland",395,1991,1
"india",750,1991,4
"indonesia",850,1991,4
"iran",630,1991,3
"iraq",645,1991,5
"ireland",205,1991,1
"israel",666,1991,1
"italy",325,1991,1
"Jamaica",51,1991,4
"Japan",740,1991,3
"Jordan",663,1991,3
"Kazakhstan",705,1991,NA
"Kenya",501,1991,3
"South Korea",732,1991,3
"North Korea",731,1991,NA
"Kuwait",690,1991,4
"Kyrgyzstan",703,1991,NA
"Laos",812,1991,1
"Latvia",367,1991,NA
"Lebanon",660,1991,2
"Lesotho",570,1991,2
"Liberia",450,1991,3
"Libya",620,1991,3
"Lithuania",368,1991,NA
"Luxembourg",212,1991,1
"Macedonia",343,1991,NA
"Madagascar",580,1991,2
"Malawi",553,1991,3
"Malaysia",820,1991,1
"Mali",432,1991,1
"Mauritania",435,1991,4
"Mauritius",590,1991,2
"Mexico",70,1991,5
"Moldova",359,1991,NA
"Mongolia",712,1991,1
"Morocco",600,1991,3
"Mozambique",541,1991,3
"Myanmar",775,1991,4
"Namibia",565,1991,3
"Nepal",790,1991,4
"Netherlands",210,1991,1
"New Zealand",920,1991,1
"Nicaragua",93,1991,3
"Niger",436,1991,3
"Nigeria",475,1991,4
"Norway",385,1991,1
"Oman",698,1991,2
"Pakistan",770,1991,4
"Panama",95,1991,3
"Papua New Guinea",910,1991,4
"Paraguay",150,1991,3
"Peru",135,1991,4
"Philippines",840,1991,4
"Poland",290,1991,2
"Portugal",235,1991,2
"Qatar",694,1991,2
"Romania",360,1991,3
"Russia",365,1991,3
"Rwanda",517,1991,4
"Saudi Arabia",670,1991,4
"Senegal",433,1991,3
"Sierra Leone",451,1991,2
"Singapore",830,1991,1
"Slovak Republic",317,1991,NA
"Slovenia",349,1991,NA
"Somalia",520,1991,3
"South Africa",560,1991,3
"Spain",230,1991,1
"Sri Lanka",780,1991,4
"Sudan",625,1991,5
"Swaziland",572,1991,2
"Sweden",380,1991,1
"Switzerland",225,1991,1
"Syria",652,1991,5
"Tajikistan",702,1991,NA
"Tanzania",510,1991,4
"Thailand",800,1991,3
"Togo",461,1991,NA
"Tonga",955,1991,1
"Tunisia",616,1991,3
"Turkey",640,1991,4
"Turkmenistan",701,1991,NA
"Uganda",500,1991,4
"Ukraine",369,1991,NA
"United Arab Emirates",696,1991,1
"United Kingdom",200,1991,2
"Uruguay",165,1991,3
"Uzbekistan",704,1991,NA
"Venezuela",101,1991,4
"Vietnam",816,1991,2
"Yemen, North",678,1991,NA
"Yemen",679,1991,5
"Yemen, South",680,1991,NA
"Yugoslavia",345,1991,4
"Zambia",551,1991,2
"Zimbabwe",552,1991,4
"Afghanistan",700,1992,4
"Albania",339,1992,1
"Algeria",615,1992,3
"Angola",540,1992,4
"Argentina",160,1992,4
"Armenia",371,1992,4
"Australia",900,1992,3
"Austria",305,1992,2
"Azerbaijan",373,1992,4
"Bahrain",692,1992,3
"Bangladesh",771,1992,4
"Belarus",370,1992,2
"Belgium",211,1992,1
"Benin",434,1992,1
"Bhutan",760,1992,5
"Bolivia",145,1992,3
"Bosnia and Herzegovina",346,1992,4
"Botswana",571,1992,2
"Brazil",140,1992,5
"Bulgaria",355,1992,2
"Burkina Faso",439,1992,3
"Burundi",516,1992,4
"Cambodia",811,1992,3
"Cameroon",471,1992,4
"Canada",20,1992,2
"Central African Repbulic",482,1992,4
"Chad",483,1992,3
"Chile",155,1992,3
"China",710,1992,5
"Colombia",100,1992,3
"Comoros",581,1992,1
"Congo, Republic of",484,1992,2
"Congo, Democratic Republic of",490,1992,4
"Costa Rica",94,1992,2
"ivory Coast",437,1992,2
"Croatia",344,1992,2
"Cuba",40,1992,4
"Cyprus",352,1992,2
"Czechoslovakia",315,1992,1
"Czech Republic",316,1992,NA
"Denmark",390,1992,1
"Djibouti",522,1992,3
"Dominican Republic",42,1992,4
"Ecuador",130,1992,2
"Egypt",651,1992,4
"El Salvador",92,1992,3
"Equatorial Guinea",411,1992,5
"Eritrea",531,1992,NA
"Estonia",366,1992,NA
"Ethiopia",530,1992,2
"Fiji",950,1992,2
"Finland",375,1992,1
"France",220,1992,1
"Gabon",481,1992,3
"Gambia",420,1992,2
"Georgia",372,1992,4
"Germany",255,1992,1
"Germany, East",265,1992,NA
"Germany, West",260,1992,NA
"Ghana",452,1992,2
"Greece",350,1992,1
"Guatemala",90,1992,3
"Guinea",438,1992,2
"Guinea-Bissau",404,1992,3
"Guyana",110,1992,3
"Haiti",41,1992,4
"Honduras",91,1992,3
"Hungary",310,1992,2
"iceland",395,1992,1
"india",750,1992,4
"indonesia",850,1992,4
"iran",630,1992,3
"iraq",645,1992,5
"ireland",205,1992,1
"israel",666,1992,1
"italy",325,1992,2
"Jamaica",51,1992,4
"Japan",740,1992,2
"Jordan",663,1992,3
"Kazakhstan",705,1992,3
"Kenya",501,1992,3
"South Korea",732,1992,3
"North Korea",731,1992,NA
"Kuwait",690,1992,3
"Kyrgyzstan",703,1992,1
"Laos",812,1992,1
"Latvia",367,1992,1
"Lebanon",660,1992,3
"Lesotho",570,1992,2
"Liberia",450,1992,4
"Libya",620,1992,3
"Lithuania",368,1992,1
"Luxembourg",212,1992,1
"Macedonia",343,1992,2
"Madagascar",580,1992,1
"Malawi",553,1992,3
"Malaysia",820,1992,2
"Mali",432,1992,1
"Mauritania",435,1992,5
"Mauritius",590,1992,2
"Mexico",70,1992,5
"Moldova",359,1992,3
"Mongolia",712,1992,1
"Morocco",600,1992,3
"Mozambique",541,1992,3
"Myanmar",775,1992,3
"Namibia",565,1992,3
"Nepal",790,1992,4
"Netherlands",210,1992,1
"New Zealand",920,1992,1
"Nicaragua",93,1992,3
"Niger",436,1992,2
"Nigeria",475,1992,5
"Norway",385,1992,1
"Oman",698,1992,1
"Pakistan",770,1992,4
"Panama",95,1992,3
"Papua New Guinea",910,1992,3
"Paraguay",150,1992,4
"Peru",135,1992,5
"Philippines",840,1992,4
"Poland",290,1992,2
"Portugal",235,1992,2
"Qatar",694,1992,1
"Romania",360,1992,2
"Russia",365,1992,4
"Rwanda",517,1992,3
"Saudi Arabia",670,1992,3
"Senegal",433,1992,3
"Sierra Leone",451,1992,2
"Singapore",830,1992,2
"Slovak Republic",317,1992,NA
"Slovenia",349,1992,1
"Somalia",520,1992,4
"South Africa",560,1992,3
"Spain",230,1992,2
"Sri Lanka",780,1992,4
"Sudan",625,1992,5
"Swaziland",572,1992,2
"Sweden",380,1992,1
"Switzerland",225,1992,1
"Syria",652,1992,5
"Tajikistan",702,1992,3
"Tanzania",510,1992,4
"Thailand",800,1992,3
"Togo",461,1992,3
"Tonga",955,1992,1
"Tunisia",616,1992,4
"Turkey",640,1992,4
"Turkmenistan",701,1992,2
"Uganda",500,1992,3
"Ukraine",369,1992,2
"United Arab Emirates",696,1992,1
"United Kingdom",200,1992,3
"Uruguay",165,1992,2
"Uzbekistan",704,1992,2
"Venezuela",101,1992,3
"Vietnam",816,1992,2
"Yemen, North",678,1992,NA
"Yemen",679,1992,3
"Yemen, South",680,1992,NA
"Yugoslavia",345,1992,3
"Zambia",551,1992,4
"Zimbabwe",552,1992,3
"Afghanistan",700,1993,5
"Albania",339,1993,2
"Algeria",615,1993,5
"Angola",540,1993,2
"Argentina",160,1993,2
"Armenia",371,1993,NA
"Australia",900,1993,2
"Austria",305,1993,2
"Azerbaijan",373,1993,NA
"Bahrain",692,1993,5
"Bangladesh",771,1993,4
"Belarus",370,1993,NA
"Belgium",211,1993,2
"Benin",434,1993,1
"Bhutan",760,1993,3
"Bolivia",145,1993,3
"Bosnia and Herzegovina",346,1993,4
"Botswana",571,1993,4
"Brazil",140,1993,4
"Bulgaria",355,1993,2
"Burkina Faso",439,1993,3
"Burundi",516,1993,3
"Cambodia",811,1993,3
"Cameroon",471,1993,5
"Canada",20,1993,1
"Central African Repbulic",482,1993,2
"Chad",483,1993,3
"Chile",155,1993,3
"China",710,1993,5
"Colombia",100,1993,5
"Comoros",581,1993,1
"Congo, Republic of",484,1993,3
"Congo, Democratic Republic of",490,1993,5
"Costa Rica",94,1993,2
"ivory Coast",437,1993,2
"Croatia",344,1993,3
"Cuba",40,1993,4
"Cyprus",352,1993,3
"Czechoslovakia",315,1993,NA
"Czech Republic",316,1993,1
"Denmark",390,1993,1
"Djibouti",522,1993,3
"Dominican Republic",42,1993,2
"Ecuador",130,1993,3
"Egypt",651,1993,4
"El Salvador",92,1993,3
"Equatorial Guinea",411,1993,5
"Eritrea",531,1993,1
"Estonia",366,1993,2
"Ethiopia",530,1993,2
"Fiji",950,1993,2
"Finland",375,1993,1
"France",220,1993,2
"Gabon",481,1993,4
"Gambia",420,1993,2
"Georgia",372,1993,5
"Germany",255,1993,2
"Germany, East",265,1993,NA
"Germany, West",260,1993,NA
"Ghana",452,1993,3
"Greece",350,1993,3
"Guatemala",90,1993,3
"Guinea",438,1993,3
"Guinea-Bissau",404,1993,4
"Guyana",110,1993,3
"Haiti",41,1993,4
"Honduras",91,1993,4
"Hungary",310,1993,2
"iceland",395,1993,1
"india",750,1993,4
"indonesia",850,1993,5
"iran",630,1993,3
"iraq",645,1993,5
"ireland",205,1993,1
"israel",666,1993,2
"italy",325,1993,2
"Jamaica",51,1993,4
"Japan",740,1993,3
"Jordan",663,1993,3
"Kazakhstan",705,1993,1
"Kenya",501,1993,3
"South Korea",732,1993,2
"North Korea",731,1993,NA
"Kuwait",690,1993,3
"Kyrgyzstan",703,1993,1
"Laos",812,1993,1
"Latvia",367,1993,2
"Lebanon",660,1993,3
"Lesotho",570,1993,2
"Liberia",450,1993,4
"Libya",620,1993,3
"Lithuania",368,1993,2
"Luxembourg",212,1993,1
"Macedonia",343,1993,2
"Madagascar",580,1993,3
"Malawi",553,1993,2
"Malaysia",820,1993,2
"Mali",432,1993,1
"Mauritania",435,1993,2
"Mauritius",590,1993,2
"Mexico",70,1993,4
"Moldova",359,1993,2
"Mongolia",712,1993,1
"Morocco",600,1993,3
"Mozambique",541,1993,3
"Myanmar",775,1993,2
"Namibia",565,1993,3
"Nepal",790,1993,3
"Netherlands",210,1993,1
"New Zealand",920,1993,1
"Nicaragua",93,1993,3
"Niger",436,1993,2
"Nigeria",475,1993,5
"Norway",385,1993,1
"Oman",698,1993,2
"Pakistan",770,1993,5
"Panama",95,1993,2
"Papua New Guinea",910,1993,3
"Paraguay",150,1993,3
"Peru",135,1993,5
"Philippines",840,1993,4
"Poland",290,1993,2
"Portugal",235,1993,3
"Qatar",694,1993,1
"Romania",360,1993,4
"Russia",365,1993,3
"Rwanda",517,1993,4
"Saudi Arabia",670,1993,3
"Senegal",433,1993,3
"Sierra Leone",451,1993,3
"Singapore",830,1993,2
"Slovak Republic",317,1993,1
"Slovenia",349,1993,1
"Somalia",520,1993,3
"South Africa",560,1993,4
"Spain",230,1993,2
"Sri Lanka",780,1993,4
"Sudan",625,1993,5
"Swaziland",572,1993,3
"Sweden",380,1993,1
"Switzerland",225,1993,1
"Syria",652,1993,5
"Tajikistan",702,1993,3
"Tanzania",510,1993,4
"Thailand",800,1993,3
"Togo",461,1993,4
"Tonga",955,1993,1
"Tunisia",616,1993,3
"Turkey",640,1993,4
"Turkmenistan",701,1993,1
"Uganda",500,1993,3
"Ukraine",369,1993,2
"United Arab Emirates",696,1993,1
"United Kingdom",200,1993,3
"Uruguay",165,1993,3
"Uzbekistan",704,1993,3
"Venezuela",101,1993,5
"Vietnam",816,1993,1
"Yemen, North",678,1993,NA
"Yemen",679,1993,3
"Yemen, South",680,1993,NA
"Yugoslavia",345,1993,4
"Zambia",551,1993,4
"Zimbabwe",552,1993,2
"Afghanistan",700,1994,5
"Albania",339,1994,2
"Algeria",615,1994,5
"Angola",540,1994,2
"Argentina",160,1994,2
"Armenia",371,1994,NA
"Australia",900,1994,3
"Austria",305,1994,2
"Azerbaijan",373,1994,NA
"Bahrain",692,1994,4
"Bangladesh",771,1994,3
"Belarus",370,1994,NA
"Belgium",211,1994,1
"Benin",434,1994,1
"Bhutan",760,1994,3
"Bolivia",145,1994,2
"Bosnia and Herzegovina",346,1994,4
"Botswana",571,1994,3
"Brazil",140,1994,4
"Bulgaria",355,1994,2
"Burkina Faso",439,1994,3
"Burundi",516,1994,3
"Cambodia",811,1994,3
"Cameroon",471,1994,4
"Canada",20,1994,2
"Central African Repbulic",482,1994,2
"Chad",483,1994,3
"Chile",155,1994,3
"China",710,1994,5
"Colombia",100,1994,3
"Comoros",581,1994,2
"Congo, Republic of",484,1994,3
"Congo, Democratic Republic of",490,1994,5
"Costa Rica",94,1994,2
"ivory Coast",437,1994,2
"Croatia",344,1994,4
"Cuba",40,1994,3
"Cyprus",352,1994,2
"Czechoslovakia",315,1994,NA
"Czech Republic",316,1994,1
"Denmark",390,1994,2
"Djibouti",522,1994,2
"Dominican Republic",42,1994,2
"Ecuador",130,1994,3
"Egypt",651,1994,4
"El Salvador",92,1994,3
"Equatorial Guinea",411,1994,5
"Eritrea",531,1994,2
"Estonia",366,1994,2
"Ethiopia",530,1994,3
"Fiji",950,1994,2
"Finland",375,1994,1
"France",220,1994,1
"Gabon",481,1994,4
"Gambia",420,1994,2
"Georgia",372,1994,4
"Germany",255,1994,2
"Germany, East",265,1994,NA
"Germany, West",260,1994,NA
"Ghana",452,1994,2
"Greece",350,1994,2
"Guatemala",90,1994,4
"Guinea",438,1994,3
"Guinea-Bissau",404,1994,3
"Guyana",110,1994,2
"Haiti",41,1994,5
"Honduras",91,1994,3
"Hungary",310,1994,2
"iceland",395,1994,1
"india",750,1994,4
"indonesia",850,1994,4
"iran",630,1994,3
"iraq",645,1994,5
"ireland",205,1994,2
"israel",666,1994,2
"italy",325,1994,3
"Jamaica",51,1994,3
"Japan",740,1994,3
"Jordan",663,1994,3
"Kazakhstan",705,1994,2
"Kenya",501,1994,3
"South Korea",732,1994,3
"North Korea",731,1994,NA
"Kuwait",690,1994,3
"Kyrgyzstan",703,1994,2
"Laos",812,1994,2
"Latvia",367,1994,2
"Lebanon",660,1994,3
"Lesotho",570,1994,3
"Liberia",450,1994,4
"Libya",620,1994,3
"Lithuania",368,1994,2
"Luxembourg",212,1994,1
"Macedonia",343,1994,2
"Madagascar",580,1994,3
"Malawi",553,1994,2
"Malaysia",820,1994,2
"Mali",432,1994,1
"Mauritania",435,1994,3
"Mauritius",590,1994,2
"Mexico",70,1994,3
"Moldova",359,1994,2
"Mongolia",712,1994,2
"Morocco",600,1994,3
"Mozambique",541,1994,4
"Myanmar",775,1994,3
"Namibia",565,1994,2
"Nepal",790,1994,3
"Netherlands",210,1994,2
"New Zealand",920,1994,1
"Nicaragua",93,1994,3
"Niger",436,1994,2
"Nigeria",475,1994,5
"Norway",385,1994,2
"Oman",698,1994,2
"Pakistan",770,1994,5
"Panama",95,1994,2
"Papua New Guinea",910,1994,3
"Paraguay",150,1994,3
"Peru",135,1994,5
"Philippines",840,1994,3
"Poland",290,1994,2
"Portugal",235,1994,2
"Qatar",694,1994,1
"Romania",360,1994,2
"Russia",365,1994,3
"Rwanda",517,1994,5
"Saudi Arabia",670,1994,3
"Senegal",433,1994,3
"Sierra Leone",451,1994,3
"Singapore",830,1994,3
"Slovak Republic",317,1994,1
"Slovenia",349,1994,1
"Somalia",520,1994,3
"South Africa",560,1994,4
"Spain",230,1994,3
"Sri Lanka",780,1994,5
"Sudan",625,1994,5
"Swaziland",572,1994,4
"Sweden",380,1994,1
"Switzerland",225,1994,2
"Syria",652,1994,5
"Tajikistan",702,1994,4
"Tanzania",510,1994,4
"Thailand",800,1994,3
"Togo",461,1994,4
"Tonga",955,1994,1
"Tunisia",616,1994,3
"Turkey",640,1994,4
"Turkmenistan",701,1994,4
"Uganda",500,1994,3
"Ukraine",369,1994,3
"United Arab Emirates",696,1994,1
"United Kingdom",200,1994,2
"Uruguay",165,1994,2
"Uzbekistan",704,1994,3
"Venezuela",101,1994,5
"Vietnam",816,1994,2
"Yemen, North",678,1994,NA
"Yemen",679,1994,3
"Yemen, South",680,1994,NA
"Yugoslavia",345,1994,4
